riskzone_id,name,center_lat,center_lon,radius_km,risk_level
1,Mumbai Road Closure Zone,19.074,72.912,5,high
2,Eastern Express Accident Hotspot,19.146,72.956,5,high
3,Pune Flood Area,18.5204,73.8567,5,high
4,Nashik Ghat Steep Zone,19.9975,73.7898,5,high
5,Chorla Landslide Zone,15.2993,74.124,5,high
6,Chennai High Traffic Core,13.0827,80.2707,5,medium
7,Bangalore MG Road Congestion,12.9716,77.5946,5,medium
8,Hazira Industrial Belt,21.1702,72.8311,5,high
9,Howrah Bridge Load Risk,22.5726,88.3639,5,medium
10,Ahmedabad Heat Risk,23.0225,72.5714,5,low
11,Jaipur NH48 Accident Zone,26.9124,75.7873,5,medium
12,Patna Fog Corridor,25.5941,85.1376,5,medium
13,Delhi Ring Road Traffic,28.7041,77.1025,5,high
14,Mussoorie Landslide Zone,30.3165,78.0322,5,high
15,Shimla Snow Hazard,31.1048,77.1734,5,high
16,Manaliâ€“Rohtang Landslide Zone,32.2432,77.1887,5,high
17,Ladakh Snow Hazard,34.1526,77.5771,5,high
18,Coimbatore Monsoon Flood Area,11.0168,76.9558,5,high
19,Wayanad Ghat Region,11.8745,75.3704,5,high
20,Kochi Flood Prone Patch,9.9312,76.2673,5,high
21,Kanyakumari Wind Risk,8.0883,77.5385,5,low
22,Hyderabad High Traffic,17.385,78.4867,5,medium
23,Vizag Cyclone Zone,17.6868,83.2185,5,high
24,Vijayawada Heat Zone,16.5062,80.648,5,low
25,Kurnool Accident Zone,15.8281,78.0373,5,medium
26,Dhanbad Mining Belt Hazard,23.762,86.1469,5,high
27,Jabalpur Heat Zone,23.1815,79.9864,5,low
28,Udaipur Twist Ghat,24.5854,73.7125,5,medium
29,Agra Tourist Congestion,27.1767,78.0081,5,low
30,Bhubaneswar Cyclone Risk,20.2961,85.8245,5,high
31,Aurangabad Fog Zone,19.8762,75.3433,5,low
32,Amboli Steep Ghat,16.1667,74.8333,5,high
33,Raipur Traffic Center,21.2514,81.6296,5,medium
34,Lucknow Congestion,26.8467,80.9462,5,medium
35,Kanpur Fog Zone,26.4499,80.3319,5,medium
36,Bathinda Heatwave Zone,30.1575,74.763,5,low
37,Indore Accident Zone,22.7196,75.8577,5,medium
38,Trichy Flood Risk,11.1271,78.6569,5,medium
39,Rameshwaram Cyclone Zone,9.2876,79.3129,5,high
40,Mysore Wildlife Corridor,12.2958,76.6394,5,medium
41,Rishikesh Landslide Zone,29.9457,78.1642,5,high
42,Vapi Coastal Risk,20.9409,72.952,5,medium
43,Manipur Hilly Terrain Risk,24.817,93.9368,5,high
44,Gangtok Mountain Ghat,27.533,88.5122,5,high
45,Chandigarh Fog Zone,30.7333,76.7794,5,low
46,Srinagar Snow Hazard,34.0837,74.7973,5,high
47,Vadodara Chemical Hazard,22.3072,73.1812,5,medium
48,Varanasi Narrow Lane Risk,25.3176,82.9739,5,low
